metro_line,direction,node,datetime
Metro_1,0,Node_4,2025-03-10 00:00:00
Metro_1,0,Node_5,2025-03-10 00:09:00
Metro_1,0,Node_6,2025-03-10 00:18:00
Metro_1,0,Node_7,2025-03-10 00:27:00
Metro_1,0,Node_8,2025-03-10 00:36:00
Metro_1,0,Node_2,2025-03-10 00:45:00
Metro_1,0,Node_4,2025-03-10 00:10:00
Metro_1,0,Node_5,2025-03-10 00:19:00
Metro_1,0,Node_6,2025-03-10 00:28:00
Metro_1,0,Node_7,2025-03-10 00:37:00
Metro_1,0,Node_8,2025-03-10 00:46:00
Metro_1,0,Node_2,2025-03-10 00:55:00
Metro_1,0,Node_4,2025-03-10 00:20:00
Metro_1,0,Node_5,2025-03-10 00:29:00
Metro_1,0,Node_6,2025-03-10 00:38:00
Metro_1,0,Node_7,2025-03-10 00:47:00
Metro_1,0,Node_8,2025-03-10 00:56:00
Metro_1,0,Node_2,2025-03-10 01:05:00
Metro_1,0,Node_4,2025-03-10 00:30:00
Metro_1,0,Node_5,2025-03-10 00:39:00
Metro_1,0,Node_6,2025-03-10 00:48:00
Metro_1,0,Node_7,2025-03-10 00:57:00
Metro_1,0,Node_8,2025-03-10 01:06:00
Metro_1,0,Node_2,2025-03-10 01:15:00
Metro_1,0,Node_4,2025-03-10 00:40:00
Metro_1,0,Node_5,2025-03-10 00:49:00
Metro_1,0,Node_6,2025-03-10 00:58:00
Metro_1,0,Node_7,2025-03-10 01:07:00
Metro_1,0,Node_8,2025-03-10 01:16:00
Metro_1,0,Node_2,2025-03-10 01:25:00
Metro_1,0,Node_4,2025-03-10 00:50:00
Metro_1,0,Node_5,2025-03-10 00:59:00
Metro_1,0,Node_6,2025-03-10 01:08:00
Metro_1,0,Node_7,2025-03-10 01:17:00
Metro_1,0,Node_8,2025-03-10 01:26:00
Metro_1,0,Node_2,2025-03-10 01:35:00
Metro_1,0,Node_4,2025-03-10 01:00:00
Metro_1,0,Node_5,2025-03-10 01:09:00
Metro_1,0,Node_6,2025-03-10 01:18:00
Metro_1,0,Node_7,2025-03-10 01:27:00
Metro_1,0,Node_8,2025-03-10 01:36:00
Metro_1,0,Node_2,2025-03-10 01:45:00
Metro_1,0,Node_4,2025-03-10 01:10:00
Metro_1,0,Node_5,2025-03-10 01:19:00
Metro_1,0,Node_6,2025-03-10 01:28:00
Metro_1,0,Node_7,2025-03-10 01:37:00
Metro_1,0,Node_8,2025-03-10 01:46:00
Metro_1,0,Node_2,2025-03-10 01:55:00
Metro_1,0,Node_4,2025-03-10 01:20:00
Metro_1,0,Node_5,2025-03-10 01:29:00
Metro_1,0,Node_6,2025-03-10 01:38:00
Metro_1,0,Node_7,2025-03-10 01:47:00
Metro_1,0,Node_8,2025-03-10 01:56:00
Metro_1,0,Node_2,2025-03-10 02:05:00
Metro_1,0,Node_4,2025-03-10 01:30:00
Metro_1,0,Node_5,2025-03-10 01:39:00
Metro_1,0,Node_6,2025-03-10 01:48:00
Metro_1,0,Node_7,2025-03-10 01:57:00
Metro_1,0,Node_8,2025-03-10 02:06:00
Metro_1,0,Node_2,2025-03-10 02:15:00
Metro_1,0,Node_4,2025-03-10 01:40:00
Metro_1,0,Node_5,2025-03-10 01:49:00
Metro_1,0,Node_6,2025-03-10 01:58:00
Metro_1,0,Node_7,2025-03-10 02:07:00
Metro_1,0,Node_8,2025-03-10 02:16:00
Metro_1,0,Node_2,2025-03-10 02:25:00
Metro_1,0,Node_4,2025-03-10 01:50:00
Metro_1,0,Node_5,2025-03-10 01:59:00
Metro_1,0,Node_6,2025-03-10 02:08:00
Metro_1,0,Node_7,2025-03-10 02:17:00
Metro_1,0,Node_8,2025-03-10 02:26:00
Metro_1,0,Node_2,2025-03-10 02:35:00
Metro_1,0,Node_4,2025-03-10 02:00:00
Metro_1,0,Node_5,2025-03-10 02:09:00
Metro_1,0,Node_6,2025-03-10 02:18:00
Metro_1,0,Node_7,2025-03-10 02:27:00
Metro_1,0,Node_8,2025-03-10 02:36:00
Metro_1,0,Node_2,2025-03-10 02:45:00
Metro_1,0,Node_4,2025-03-10 02:10:00
Metro_1,0,Node_5,2025-03-10 02:19:00
Metro_1,0,Node_6,2025-03-10 02:28:00
Metro_1,0,Node_7,2025-03-10 02:37:00
Metro_1,0,Node_8,2025-03-10 02:46:00
Metro_1,0,Node_2,2025-03-10 02:55:00
Metro_1,0,Node_4,2025-03-10 02:20:00
Metro_1,0,Node_5,2025-03-10 02:29:00
Metro_1,0,Node_6,2025-03-10 02:38:00
Metro_1,0,Node_7,2025-03-10 02:47:00
Metro_1,0,Node_8,2025-03-10 02:56:00
Metro_1,0,Node_2,2025-03-10 03:05:00
Metro_1,0,Node_4,2025-03-10 02:30:00
Metro_1,0,Node_5,2025-03-10 02:39:00
Metro_1,0,Node_6,2025-03-10 02:48:00
Metro_1,0,Node_7,2025-03-10 02:57:00
Metro_1,0,Node_8,2025-03-10 03:06:00
Metro_1,0,Node_2,2025-03-10 03:15:00
Metro_1,0,Node_4,2025-03-10 02:40:00
Metro_1,0,Node_5,2025-03-10 02:49:00
Metro_1,0,Node_6,2025-03-10 02:58:00
Metro_1,0,Node_7,2025-03-10 03:07:00
Metro_1,0,Node_8,2025-03-10 03:16:00
Metro_1,0,Node_2,2025-03-10 03:25:00
Metro_1,0,Node_4,2025-03-10 02:50:00
Metro_1,0,Node_5,2025-03-10 02:59:00
Metro_1,0,Node_6,2025-03-10 03:08:00
Metro_1,0,Node_7,2025-03-10 03:17:00
Metro_1,0,Node_8,2025-03-10 03:26:00
Metro_1,0,Node_2,2025-03-10 03:35:00
Metro_1,0,Node_4,2025-03-10 03:00:00
Metro_1,0,Node_5,2025-03-10 03:09:00
Metro_1,0,Node_6,2025-03-10 03:18:00
Metro_1,0,Node_7,2025-03-10 03:27:00
Metro_1,0,Node_8,2025-03-10 03:36:00
Metro_1,0,Node_2,2025-03-10 03:45:00
Metro_1,0,Node_4,2025-03-10 03:10:00
Metro_1,0,Node_5,2025-03-10 03:19:00
Metro_1,0,Node_6,2025-03-10 03:28:00
Metro_1,0,Node_7,2025-03-10 03:37:00
Metro_1,0,Node_8,2025-03-10 03:46:00
Metro_1,0,Node_2,2025-03-10 03:55:00
Metro_1,0,Node_4,2025-03-10 03:20:00
Metro_1,0,Node_5,2025-03-10 03:29:00
Metro_1,0,Node_6,2025-03-10 03:38:00
Metro_1,0,Node_7,2025-03-10 03:47:00
Metro_1,0,Node_8,2025-03-10 03:56:00
Metro_1,0,Node_2,2025-03-10 04:05:00
Metro_1,0,Node_4,2025-03-10 03:30:00
Metro_1,0,Node_5,2025-03-10 03:39:00
Metro_1,0,Node_6,2025-03-10 03:48:00
Metro_1,0,Node_7,2025-03-10 03:57:00
Metro_1,0,Node_8,2025-03-10 04:06:00
Metro_1,0,Node_2,2025-03-10 04:15:00
Metro_1,0,Node_4,2025-03-10 03:40:00
Metro_1,0,Node_5,2025-03-10 03:49:00
Metro_1,0,Node_6,2025-03-10 03:58:00
Metro_1,0,Node_7,2025-03-10 04:07:00
Metro_1,0,Node_8,2025-03-10 04:16:00
Metro_1,0,Node_2,2025-03-10 04:25:00
Metro_1,0,Node_4,2025-03-10 03:50:00
Metro_1,0,Node_5,2025-03-10 03:59:00
Metro_1,0,Node_6,2025-03-10 04:08:00
Metro_1,0,Node_7,2025-03-10 04:17:00
Metro_1,0,Node_8,2025-03-10 04:26:00
Metro_1,0,Node_2,2025-03-10 04:35:00
Metro_1,0,Node_4,2025-03-10 04:00:00
Metro_1,0,Node_5,2025-03-10 04:09:00
Metro_1,0,Node_6,2025-03-10 04:18:00
Metro_1,0,Node_7,2025-03-10 04:27:00
Metro_1,0,Node_8,2025-03-10 04:36:00
Metro_1,0,Node_2,2025-03-10 04:45:00
Metro_1,0,Node_4,2025-03-10 04:10:00
Metro_1,0,Node_5,2025-03-10 04:19:00
Metro_1,0,Node_6,2025-03-10 04:28:00
Metro_1,0,Node_7,2025-03-10 04:37:00
Metro_1,0,Node_8,2025-03-10 04:46:00
Metro_1,0,Node_2,2025-03-10 04:55:00
Metro_1,0,Node_4,2025-03-10 04:20:00
Metro_1,0,Node_5,2025-03-10 04:29:00
Metro_1,0,Node_6,2025-03-10 04:38:00
Metro_1,0,Node_7,2025-03-10 04:47:00
Metro_1,0,Node_8,2025-03-10 04:56:00
Metro_1,0,Node_2,2025-03-10 05:05:00
Metro_1,0,Node_4,2025-03-10 04:30:00
Metro_1,0,Node_5,2025-03-10 04:39:00
Metro_1,0,Node_6,2025-03-10 04:48:00
Metro_1,0,Node_7,2025-03-10 04:57:00
Metro_1,0,Node_8,2025-03-10 05:06:00
Metro_1,0,Node_2,2025-03-10 05:15:00
Metro_1,0,Node_4,2025-03-10 04:40:00
Metro_1,0,Node_5,2025-03-10 04:49:00
Metro_1,0,Node_6,2025-03-10 04:58:00
Metro_1,0,Node_7,2025-03-10 05:07:00
Metro_1,0,Node_8,2025-03-10 05:16:00
Metro_1,0,Node_2,2025-03-10 05:25:00
Metro_1,0,Node_4,2025-03-10 04:50:00
Metro_1,0,Node_5,2025-03-10 04:59:00
Metro_1,0,Node_6,2025-03-10 05:08:00
Metro_1,0,Node_7,2025-03-10 05:17:00
Metro_1,0,Node_8,2025-03-10 05:26:00
Metro_1,0,Node_2,2025-03-10 05:35:00
Metro_1,0,Node_4,2025-03-10 05:00:00
Metro_1,0,Node_5,2025-03-10 05:09:00
Metro_1,0,Node_6,2025-03-10 05:18:00
Metro_1,0,Node_7,2025-03-10 05:27:00
Metro_1,0,Node_8,2025-03-10 05:36:00
Metro_1,0,Node_2,2025-03-10 05:45:00
Metro_1,0,Node_4,2025-03-10 05:10:00
Metro_1,0,Node_5,2025-03-10 05:19:00
Metro_1,0,Node_6,2025-03-10 05:28:00
Metro_1,0,Node_7,2025-03-10 05:37:00
Metro_1,0,Node_8,2025-03-10 05:46:00
Metro_1,0,Node_2,2025-03-10 05:55:00
Metro_1,0,Node_4,2025-03-10 05:20:00
Metro_1,0,Node_5,2025-03-10 05:29:00
Metro_1,0,Node_6,2025-03-10 05:38:00
Metro_1,0,Node_7,2025-03-10 05:47:00
Metro_1,0,Node_8,2025-03-10 05:56:00
Metro_1,0,Node_2,2025-03-10 06:05:00
Metro_1,0,Node_4,2025-03-10 05:30:00
Metro_1,0,Node_5,2025-03-10 05:39:00
Metro_1,0,Node_6,2025-03-10 05:48:00
Metro_1,0,Node_7,2025-03-10 05:57:00
Metro_1,0,Node_8,2025-03-10 06:06:00
Metro_1,0,Node_2,2025-03-10 06:15:00
Metro_1,0,Node_4,2025-03-10 05:40:00
Metro_1,0,Node_5,2025-03-10 05:49:00
Metro_1,0,Node_6,2025-03-10 05:58:00
Metro_1,0,Node_7,2025-03-10 06:07:00
Metro_1,0,Node_8,2025-03-10 06:16:00
Metro_1,0,Node_2,2025-03-10 06:25:00
Metro_1,0,Node_4,2025-03-10 05:50:00
Metro_1,0,Node_5,2025-03-10 05:59:00
Metro_1,0,Node_6,2025-03-10 06:08:00
Metro_1,0,Node_7,2025-03-10 06:17:00
Metro_1,0,Node_8,2025-03-10 06:26:00
Metro_1,0,Node_2,2025-03-10 06:35:00
Metro_1,0,Node_4,2025-03-10 06:00:00
Metro_1,0,Node_5,2025-03-10 06:09:00
Metro_1,0,Node_6,2025-03-10 06:18:00
Metro_1,0,Node_7,2025-03-10 06:27:00
Metro_1,0,Node_8,2025-03-10 06:36:00
Metro_1,0,Node_2,2025-03-10 06:45:00
Metro_1,0,Node_4,2025-03-10 06:10:00
Metro_1,0,Node_5,2025-03-10 06:19:00
Metro_1,0,Node_6,2025-03-10 06:28:00
Metro_1,0,Node_7,2025-03-10 06:37:00
Metro_1,0,Node_8,2025-03-10 06:46:00
Metro_1,0,Node_2,2025-03-10 06:55:00
Metro_1,0,Node_4,2025-03-10 06:20:00
Metro_1,0,Node_5,2025-03-10 06:29:00
Metro_1,0,Node_6,2025-03-10 06:38:00
Metro_1,0,Node_7,2025-03-10 06:47:00
Metro_1,0,Node_8,2025-03-10 06:56:00
Metro_1,0,Node_2,2025-03-10 07:05:00
Metro_1,0,Node_4,2025-03-10 06:30:00
Metro_1,0,Node_5,2025-03-10 06:39:00
Metro_1,0,Node_6,2025-03-10 06:48:00
Metro_1,0,Node_7,2025-03-10 06:57:00
Metro_1,0,Node_8,2025-03-10 07:06:00
Metro_1,0,Node_2,2025-03-10 07:15:00
Metro_1,0,Node_4,2025-03-10 06:40:00
Metro_1,0,Node_5,2025-03-10 06:49:00
Metro_1,0,Node_6,2025-03-10 06:58:00
Metro_1,0,Node_7,2025-03-10 07:07:00
Metro_1,0,Node_8,2025-03-10 07:16:00
